User-ID,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher,Age,Country,Author_Numerical
276754,0684867621,8,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner,19.0,canada,0
276822,0060096195,10,The Boy Next Door,Meggin Cabot,2002,Avon Trade,11.0,canada,1
276822,0141310340,9,Skin and Other Stories (Now in Speak!),Roald Dahl,2002,Puffin Books,11.0,canada,2
276822,0142302198,10,Growing Wings,Laurel Winter,2002,Puffin Books,11.0,canada,3
276822,0156006065,9,The Riddle of Scheherazade: And Other Amazing Puzzles,Raymond Smullyan,1998,Harvest Books,11.0,canada,4
276822,0375821813,9,Hoot (Newbery Honor Book),CARL HIAASEN,2002,Knopf Books for Young Readers,11.0,canada,5
276822,038076041X,10,A Kid's Guide to How to Save the Planet (Camelot world),Billy Goodman,1990,Harpercollins Juvenile Books,11.0,canada,6
276822,0439401399,6,The Contest,Gordon Korman,2002,Scholastic,11.0,canada,7
276822,0689804458,8,A String in the Harp,Nancy Bond,1996,Aladdin,11.0,canada,8
276822,0786812508,9,The Sandy Bottom Orchestra,Jenny Nilson,1998,Hyperion Books for Children,11.0,canada,9
276822,0786817070,10,"Artemis Fowl (Artemis Fowl, Book 1)",Eoin Colfer,2002,Miramax Kids,11.0,canada,10
276822,0805057706,10,The Number Devil: A Mathematical Adventure,Hans Magnus Enzensberger,1998,Henry Holt &amp; Company,11.0,canada,11
276822,1551925060,8,Surviving Sam,Karen Rivers,2002,Polestar Book Publishers,11.0,canada,12
276822,1573248533,10,Random Acts of Kindness,Dawna Markova,2002,Conari Press,11.0,canada,13
276850,0449217264,7,Alaska,James A. Michener,1994,Fawcett Books,16.0,canada,14
276905,0060542845,8,The Holiday Present,Johanna Lindsey,2003,Avon Books,22.0,canada,15
276905,0449148831,5,Benedict Canyon,Laura Van Wormer,1993,Fawcett Books,22.0,canada,16
276984,0590259970,9,"Karen's Lemonade Stand (Baby-Sitters Little Sister, 64)",Ann M. Martin,1995,Scholastic,11.0,canada,17
276984,0590260251,9,"Karen's Angel (Baby-Sitters Little Sister, 68)",Ann M. Martin,1995,Scholastic,11.0,canada,17
276984,0590426702,10,Karen's Haircut (Baby-Sitters Little Sister (Paperback)),Ann M. Martin,1990,Scholastic,11.0,canada,17
276984,0590436422,9,"Karen's Home Run (Baby-Sitters Little Sister, 18)",Ann M. Martin,1991,Scholastic,11.0,canada,17
276984,0590436449,9,"Karen's Goldfish (Baby-Sitters Little Sister, 16)",Ann M. Martin,1995,Scholastic,11.0,canada,17
276984,0590436465,9,Baby-Sitters Little Sister #14:  Karen's New Year,Ann M. Martin,1995,Scholastic,11.0,canada,17
276984,0590436481,9,"Karen's Surprise (Baby-Sitters Little Sister, 13)",Ann M. Martin,1995,Scholastic,11.0,canada,17
276984,059043649X,9,"Karen's Ghost (Baby-Sitters Little Sister, 12)",Ann M. Martin,1990,Scholastic,11.0,canada,17
276984,0590442589,10,"Karen's School Picture (Baby-Sitters Little Sister, 5)",Ann M. Martin,1993,Scholastic,11.0,canada,17
276984,0590442996,10,"Karen's Worst Day (Baby-Sitters Little Sister, 3)",Ann M. Martin,1990,Scholastic,11.0,canada,17
276984,0590448234,9,Karen's Carnival (Baby-Sitters Little Sister (Paperback)),Ann M. Martin,1995,Scholastic,11.0,canada,17
276984,0590448595,9,"Karen's School Trip (Baby-Sitters Little Sister, 24)",Ann M. Martin,1992,Scholastic Paperbacks (Mm),11.0,canada,17
