User-ID,ISBN,Book-Rating,Book-Title,Book-Author,Year-Of-Publication,Publisher,Age,Country,Author_Numerical
276754,0684867621,8,The Girl Who Loved Tom Gordon : A Novel,Stephen King,1999,Scribner,19.0,canada,0
276822,0141310340,9,Skin and Other Stories (Now in Speak!),Roald Dahl,2002,Puffin Books,11.0,canada,2
276905,0060542845,8,The Holiday Present,Johanna Lindsey,2003,Avon Books,22.0,canada,15
276984,0590259970,9,"Karen's Lemonade Stand (Baby-Sitters Little Sister, 64)",Ann M. Martin,1995,Scholastic,11.0,canada,17
276984,0590260251,9,"Karen's Angel (Baby-Sitters Little Sister, 68)",Ann M. Martin,1995,Scholastic,11.0,canada,17
276984,0590426702,10,Karen's Haircut (Baby-Sitters Little Sister (Paperback)),Ann M. Martin,1990,Scholastic,11.0,canada,17
276984,0590436422,9,"Karen's Home Run (Baby-Sitters Little Sister, 18)",Ann M. Martin,1991,Scholastic,11.0,canada,17
276984,0590436449,9,"Karen's Goldfish (Baby-Sitters Little Sister, 16)",Ann M. Martin,1995,Scholastic,11.0,canada,17
276984,0590436465,9,Baby-Sitters Little Sister #14:  Karen's New Year,Ann M. Martin,1995,Scholastic,11.0,canada,17
276984,0590436481,9,"Karen's Surprise (Baby-Sitters Little Sister, 13)",Ann M. Martin,1995,Scholastic,11.0,canada,17
276984,059043649X,9,"Karen's Ghost (Baby-Sitters Little Sister, 12)",Ann M. Martin,1990,Scholastic,11.0,canada,17
276984,0590442589,10,"Karen's School Picture (Baby-Sitters Little Sister, 5)",Ann M. Martin,1993,Scholastic,11.0,canada,17
276984,0590442996,10,"Karen's Worst Day (Baby-Sitters Little Sister, 3)",Ann M. Martin,1990,Scholastic,11.0,canada,17
276984,0590448234,9,Karen's Carnival (Baby-Sitters Little Sister (Paperback)),Ann M. Martin,1995,Scholastic,11.0,canada,17
276984,0590448595,9,"Karen's School Trip (Baby-Sitters Little Sister, 24)",Ann M. Martin,1992,Scholastic Paperbacks (Mm),11.0,canada,17
276984,0590456504,9,"Karen's Snow Day (Baby-Sitters Little Sister, 34)",Ann M. Martin,1993,Scholastic Paperbacks,11.0,canada,17
276984,0590470485,9,"Karen's Lucky Penny (Baby-Sitters Little Sister, 50)",Ann M. Martin,1994,Scholastic,11.0,canada,17
277096,0064407667,7,"The Bad Beginning (A Series of Unfortunate Events, Book 1)",Lemony Snicket,1999,HarperCollins,57.0,canada,19
277188,0525945636,4,Code to Zero,Ken Follett,2000,Dutton Books,42.0,canada,21
277205,0671664964,7,The Hitchhiker's Guide to the Galaxy,Douglas Adams,1988,Pocket,25.0,canada,22
277253,0380807343,9,Coraline,Neil Gaiman,2003,HarperTrophy,24.0,canada,23
277367,0312276885,10,The Sigma Protocol,Robert Ludlum,2001,St. Martin's Press,15.0,canada,24
